subject_category	predicate	object_category	count
biolink:SmallMolecule	biolink:treats	biolink:Disease	232
biolink:Gene	biolink:gene_associated_with_condition	biolink:Disease	123
biolink:SmallMolecule	biolink:treats_or_applied_or_studied_to_treat	biolink:Disease	119
biolink:SmallMolecule	biolink:affects	biolink:Gene	113
biolink:MolecularEntity	biolink:treats	biolink:Disease	9
biolink:MolecularEntity	biolink:affects	biolink:Gene	9
biolink:MolecularMixture	biolink:treats	biolink:Disease	7
biolink:MolecularMixture	biolink:treats_or_applied_or_studied_to_treat	biolink:Disease	6
biolink:MolecularMixture	biolink:affects	biolink:Gene	1
